text,label
I'm just a human being with a soul.,0
I'm just kidding.,0
I got my soul so I genuinely removed.,0
"Hello, hello, and welcome back to A Bit Fruity.",0
"Today, we have a little bit of a different show.",0
This is not usually an interview podcast.,0
"It's usually a culture and political analysis podcast, but I recently got to know someone who really exists at the center of so many conversations.",0
that we have on this podcast but who we have yet to hear from on the fruity podcast mic,0
and so I thought now's the time.,0
I haven't evaded Matt's place of residence.,0
"Welcome to the podcast and welcome to my apartment Vivian, Jenna, Wilson.",0
"Vivian, you have had a whirlwind few months.",1
"I have, yes.",0
"Sort of into public figurehood into this like very strange internet spotlight, which I'm like sort of familiar with, but not nearly probably the way that you are at this point.",1
"And I'm just curious, like, how are you doing right now?",1
I'm doing good.,0
It's definitely like a lot to get used to all at once.,0
"Because it was very much in my specific instance, it was like, there was no training rules, it was zero to 100.",0
"So it's just, it's a bit of a struggle to get like acclimated to it.",0
"But obviously, I'm very grateful for all the support and love I've received and this is just such a unique.",0
experience,0
and I want to enjoy it and like live life to the fullest.,0
You're giving your life.,1
That was the most pageant.,0
You're giving your pageant answer.,1
I'm done.,0
"Hi, thank you.",1
Thank you.,1
Do you want world peace?,1
I got you.,1
"And when I'm called the queen, I'll fight hard for world peace.",0
Thank you.,1
Thank you.,1
This moment means so much to me.,0
I keep getting those fucking cheer videos on my TikTok.,0
"I mean, it's an earnest podcast, but it's not that earnest.",0
That was like real pageant material.,0
That was real.,0
Or was my honest answer?,0
I'm sorry.,0
"Well, but it I mean, it really has come at you so quickly.",1
Vivian got to my apartment a little while ago and we've just been having coffee and chatting it up.,0
It's a really rainy day here in New York.,0
Yeah.,0
And you were telling me about how you went from like 22 followers on threads one day to it's just like ballooning.,1
It blew me up.,0
"Yeah, me nearly.",0
"It went from like literally 22 followers where I was shit posting about kpop and and chatting with the gaggle of other trans people on a dead app to like 60,000 followers or something like that.",0
"In the course of one night, it was like nothing.",0
"And then, oh, Jamie Lee Curtis just like, no to your no.",1
"I'm like, wow, that's kind of coconut.",0
And then I feel like there's also like coverage of the things that you put out on threads.,1
"Yeah, especially pink news.",0
I literally will like post anything on the web.,0
I'll be like an article about it the next day.,0
"I mean, I'm so curious because like as someone who works like on the internet and like I just do this podcast for a job and whatever like everything happened pretty slowly.",0
Like I've been doing this for like six years and like I've had time to incrementally get used to it.,0
Yeah.,0
"I mean, just a few months ago, you were a very, very private person.",1
Yeah.,0
And all of a sudden you're less so it was.,1
"I mean, I've always been like a pretty, I don't know, ostentatious is the right word was very SATs.",0
"But I've always been like a very kind of like extra person, not necessarily extraverted, more so now, obviously.",0
You kind of have to be.,1
"But I was kind of like overly charismatic, enthusiastic.",0
"I was kind of like, I had a bit of Thordjie Thordjie situation where like, if there was something I liked doing, I was like, wow, you guys were gonna do, I don't know what the fuck that voice was.",1
It was a little toad.,0
"Wow, we're gonna save the castle.",0
I don't know.,0
I'm just curious if it's been overwhelming or how you're dealing with it.,1
"I mean, like it has very much so been overwhelming or how you're dealing with it.",1
"It has very much so been overwhelming, but I am doing everything I can to not be overwhelmed.",0
well and just be welled.,0
"I was also curious, like, what made you decide to not like step into this role?",1
"There's not really a role, but like, spy.",0
"Okay, so the reason I got famous, but those of you don't know, other than the nepotism, the reason the nepotism happened, Jordan Peterson was on a podcast with certain someone.",1
"And obviously that's the fucking thing where the my son, savior, he's dead.",0
"And when Peterson was like, Oh my god.",0
I'm so I don't know why I'm giving the British accent.,0
I thought it's honestly really good.,0
I think it's just way more funny that way.,0
I think you're making Jordan Peterson sound like a little bit nicer than he actually sounds.,1
"I'm making the sound way hotter than he's like, wow, like Jordan Peterson.",0
I can't like you.,1
"No, that's your nasally.",1
Hold on.,0
He has this kind of like overly grovely voice.,0
"Wow, that happened here.",0
Child.,0
Like that's actually accurate.,0
That's like toad and Jordan Peters.,0
What is with the toad voices today?,0
Yeah.,0
But Jordan Peterson was on this patch.,0
voice.,0
"And he was like, Oh my gosh, I'm so sorry that your child is dead.",1
"And I was like, just over there in the corner of literally in my small fucking apartment in Tokyo, going to college.",0
"And I was like, did this bitch just try to come for me?",0
"And I was like, no.",0
"Um, no, I was literally like, hell fucking no, I am not about to let this bitch come for me and have that just slide.",0
So I had my little threads response.,0
I didn't weigh in Mega coconuts viral.,0
I keep saying mega coconuts.,0
I stole that from not only one.,0
I'm so sorry I also say coconuts and bananas all the time because I know we win she is like infested Trans vocabulary and gave vocabulary.,0
"Yeah, like infested.",0
It's super mega fucking.,0
It's super mega fucking coconuts,0
So you hear this like dumb podcast?,1
"Yeah, and you're like nope.",1
I want to have a voice in this I literally saw it.,0
I woke up.,0
"I woke I woke up to this is the first thing I experienced that day imagine the sun rising through like, I'm ready for another day.",0
It was a week before finals weeks.,0
"I should have been studying, but I was like, fucking around.",0
"And by fucking around, I mean, rotting in my apartment, watching TikToks and like, vibing.",0
"Then I take my little phone, I open the phone, I see a text from my aunt.",0
I open the text.,0
I love the way you're telling this.,1
Yes.,0
"And she's like, this bitch just tried to come for me.",0
For you.,1
"And I was like, gasp.",0
Double gas this is not how it happened at all.,0
I love that the like telenovelification of this family drama.,0
Exactly.,0
Yeah,0
"No, I love this.",0
I think we should I think everyone should telenovelicize everything.,0
I think it's more fun I mean influence or basically do that.,0
I'm just being honest.,0
I saw the clip and it's Jordan Peterson.,0
She's like he's dead,0
So the first thing I do is I text my mom,0
and I'm like I call that this bitch get to me Mm-hmm.,0
I must retaliate.,0
"I'm so sorry, mother.",0
"I'm going into, I don't know what the fuck this bit is.",0
"I texted my mom, I'm just gonna do normal.",0
voice now.,0
So sorry.,0
"I just my mom like, I'm gonna go public.",0
"So sorry, you can't all stop me.",1
"And at that point, she was kind of just like,",0
"yeah,",0
I trust you do what you need to do.,1
"Obviously, just be careful and whatnot.",0
"And then later on, I take a nap or whatever.",0
And then I wake up,0
and I text my friends.,0
"Obviously, I get like a bunch of texts because this thing went like super fucking viral.",0
I don't think you don't understand.,1
"Um, well, honestly, the people listening to this podcast were paying attention.",0
Yeah.,0
"Uh, the thing went super.",0
for viral,0
and I'm getting like a bunch of texts,0
and I text my friends that I'm gonna go public and my friend was just think I was like kind of used to that especially after the book camp there was a book came out they should talk to me whatever it's fine fuck you Walter Isaacson,1
yeah fuck you Walter Isaacson that was direct and my friend also I think everyone has one friend where they get because like I'm used to this shit she wasn wasn't.,1
She was so much angrier than I was about the whole situation because I was like no one worried to it,0
and I was like I'm gonna going public,0
"and she was like,",0
"oh my God, bitch, fuck.",0
"Yes, I'm so excited for you.",1
You better eat him alive.,1
"And I was like, I'll do my best.",0
And then I did my best.,0
And then Jamie Lee Curtis followed me.,0
That's the story of how it happened.,0
"Prior to that, I mean, you had always lived a private life.",1
"I mean, yeah, pretty much.",0
I had no socials.,0
"My social girl, like, private.",0
"I mean, it feels like the privacy was almost kind of taken from you.",1
I don't know if it was necessarily taken from me because I chose to respond.,0
"And when I chose to respond, I knew what I was going to get to.",0
And even then I could have done the threads post and then disappeared back into the wind,0
and I didn't.,0
Yeah.,0
That's my choice.,0
